VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1E20L,Clark,Vancouver,WA,98685.0,2020,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,330.0,96084,18.0,142016094,POINT (-122.688741 45.711311),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040908.0
5YJYGDEE8L,King,Kirkland,WA,98033.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,104055,48.0,127383987,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502.0
1G1FY6S01L,King,Bellevue,WA,98004.0,2020,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,259.0,100595,48.0,252699597,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023805.0
5YJ3E1EA6K,King,Seattle,WA,98177.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,118733,32.0,326432893,POINT (-122.3691687 47.7403542),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402.0
1G1FW6S04H,King,Seattle,WA,98112.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,62220,43.0,322052636,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200.0
1G1FY6S04K,Clark,Vancouver,WA,98663.0,2019,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,95494,49.0,213470582,POINT (-122.657848 45.654422),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041003.0
5YJ3E1EB1J,Clallam,Port Angeles,WA,98362.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,106351,24.0,475411821,POINT (-123.4031294 48.1009483),BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),53009001200.0
5YJSA1S22F,King,Shoreline,WA,98177.0,2015,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,147842,32.0,146372761,POINT (-122.3691687 47.7403542),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020800.0
1G1FY6S03L,Thurston,Olympia,WA,98501.0,2020,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,259.0,159373,22.0,8983026,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100.0
1G1FX6S06H,King,Kirkland,WA,98034.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,180339,45.0,122575540,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022005.0
