VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EA3L,King,Seattle,WA,98125.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,57772,46.0,124517347,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102.0
5YJSA1DNXD,Thurston,Olympia,WA,98506.0,2013,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,22.0,475076241,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010300.0
5YJ3E1EB8J,Snohomish,Mill Creek,WA,98012.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,178725,44.0,475227392,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052008.0
5YJSA1H2XE,Snohomish,Arlington,WA,98223.0,2014,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,39.0,193175517,POINT (-122.11597 48.194109),PUGET SOUND ENERGY INC,53061052701.0
5YJ3E1EA2L,Kitsap,Port Orchard,WA,98366.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,49991,26.0,6249078,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092600.0
5YJYGDEEXL,King,Renton,WA,98055.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,155011,11.0,124565731,POINT (-122.2003346 47.4487206),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805.0
5YJXCAE28J,King,Auburn,WA,98092.0,2018,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,179073,47.0,149766508,POINT (-122.1550193 47.2884536),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031207.0
5YJSA1E24H,Snohomish,Bothell,WA,98012.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,73062,44.0,266967277,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052005.0
5YJ3E1EA3J,King,Seattle,WA,98115.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,63701,46.0,283964453,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200.0
5YJXCBE29G,Kitsap,Poulsbo,WA,98370.0,2016,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,54552,23.0,6406879,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035091100.0
1G1FY6S08K,Thurston,Tumwater,WA,98512.0,2019,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,139021,22.0,251184825,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910.0
5YJSA1E23G,Snohomish,Snohomish,WA,98290.0,2016,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,120611,44.0,348785223,POINT (-122.0483457 47.9435765),PUGET SOUND ENERGY INC,53061052502.0
5YJSA1E28H,Thurston,Olympia,WA,98502.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,82123,22.0,211899019,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067012002.0
5YJ3E1EB7K,Stevens,Colville,WA,99114.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,141513,7.0,278862286,POINT (-117.885418 48.541035),AVISTA CORP,53065950300.0
5YJ3E1EC3L,Thurston,Yelm,WA,98597.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,308.0,106661,2.0,254928768,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012531.0
5YJXCAE20G,King,Seatac,WA,98168.0,2016,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,86391,33.0,219998173,POINT (-122.297205 47.486649),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027300.0
5YJ3E1EB6K,King,Seattle,WA,98108.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,181474,11.0,232690629,POINT (-122.3173531 47.5484673),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010402.0
5YJ3E1EB2L,Chelan,Wenatchee,WA,98801.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,172251,12.0,128897450,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007960700.0
5YJSA1E41J,Thurston,Olympia,WA,98502.0,2018,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,249.0,124551,22.0,193795542,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011100.0
5YJ3E1EA4K,Kitsap,Silverdale,WA,98383.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,45924,23.0,148566358,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091201.0
5YJXCBE26G,Yakima,Selah,WA,98942.0,2016,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,79628,15.0,122670621,POINT (-120.5517376 46.6678647),PACIFICORP,53077003100.0
5YJ3E1EB1J,King,Auburn,WA,98001.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,67297,47.0,476632054,POINT (-122.2651204 47.3164638),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902.0
5YJXCDE27L,King,Kirkland,WA,98033.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,289.0,65108,48.0,3626507,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022702.0
5YJYGDEE6L,Snohomish,Mill Creek,WA,98012.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,143575,44.0,112428550,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052008.0
5YJ3E1EA3J,Snohomish,Bothell,WA,98021.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,108320,1.0,136972083,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937.0
5YJ3E1EB7J,Thurston,Olympia,WA,98512.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,127053,22.0,474261763,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000.0
5YJSA1E29L,Kitsap,Hansville,WA,98340.0,2020,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,330.0,46070,23.0,102895040,POINT (-122.5638082 47.8995458),PUGET SOUND ENERGY INC,53035090101.0
5YJXCDE20L,Thurston,Olympia,WA,98501.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,289.0,114317,22.0,131357390,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010400.0
5YJ3E1EA6K,Thurston,Olympia,WA,98502.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,163579,35.0,478146763,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011902.0
5YJ3E1EA9L,Thurston,Lacey,WA,98503.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,49463,22.0,208467983,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011421.0
5YJYGDEE5L,Snohomish,Everett,WA,98201.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,118165,38.0,110764804,POINT (-122.2032447 47.9845088),PUGET SOUND ENERGY INC,53061040900.0
5YJYGDEE6L,Thurston,Olympia,WA,98502.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,81756,22.0,124741795,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520.0
5YJ3E1EB9K,Yakima,Yakima,WA,98908.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,140159,14.0,156862744,POINT (-120.611068 46.596645),PACIFICORP,53077002804.0
5YJ3E1EA9J,Thurston,Olympia,WA,98513.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,177368,2.0,241589512,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012320.0
5YJXCDE25H,Snohomish,Lake Stevens,WA,98258.0,2017,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,148007,44.0,333729469,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052506.0
5YJXCBE20H,Snohomish,Bothell,WA,98012.0,2017,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,125868,1.0,305888509,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107.0
WA1VAAGE2K,Kitsap,Bremerton,WA,98310.0,2019,AUDI,E-TRON,BEV,Clean Alternative Fuel Vehicle Eligible,204.0,108978,23.0,476666046,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080101.0
5YJXCBE21H,Kitsap,Port Orchard,WA,98367.0,2017,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,156653,26.0,172534043,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092701.0
5YJYGDEF9L,Chelan,Manson,WA,98831.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,100659,12.0,107762469,POINT (-120.147741 47.8988976),PUD NO 1 OF CHELAN COUNTY,53007960400.0
5YJ3E1EB1J,Snohomish,Mukilteo,WA,98275.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,119754,21.0,474833887,POINT (-122.29943 47.912654),PUGET SOUND ENERGY INC,53061042001.0
5YJ3E1EB0J,King,Redmond,WA,98053.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,176852,45.0,298571640,POINT (-122.030684 47.669552),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
5YJ3E1EA5L,Snohomish,Lake Stevens,WA,98258.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,157106,44.0,102664061,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052603.0
1G1FY6S07L,Yakima,Yakima,WA,98908.0,2020,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,259.0,134040,14.0,109652714,POINT (-120.611068 46.596645),PACIFICORP,53077000401.0
5YJ3E1EA9L,Snohomish,Marysville,WA,98270.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,73561,38.0,4759450,POINT (-122.1515174 48.0650751),PUGET SOUND ENERGY INC,53061052903.0
5YJ3E1EAXJ,Island,Oak Harbor,WA,98277.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,156504,10.0,338472676,POINT (-122.6447164 48.3015146),PUGET SOUND ENERGY INC,53029971000.0
WA1LAAGE5K,Snohomish,Bothell,WA,98012.0,2019,AUDI,E-TRON,BEV,Clean Alternative Fuel Vehicle Eligible,204.0,61243,1.0,240042918,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051921.0
5YJ3E1EB4J,Snohomish,Lake Stevens,WA,98258.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,169241,44.0,298381688,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052606.0
SADHC2S16L,Kitsap,Silverdale,WA,98383.0,2020,JAGUAR,I-PACE,BEV,Clean Alternative Fuel Vehicle Eligible,234.0,97776,23.0,256253070,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091302.0
5YJYGDEE6L,Snohomish,Bothell,WA,98021.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,150127,1.0,128835990,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937.0
5YJSA1S20F,Island,Langley,WA,98260.0,2015,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,40507,10.0,186310421,POINT (-122.4401957 48.0192938),PUGET SOUND ENERGY INC,53029971900.0
KM8K33AGXK,Thurston,Lacey,WA,98503.0,2019,HYUNDAI,KONA,BEV,Clean Alternative Fuel Vehicle Eligible,258.0,163280,22.0,218004279,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300.0
5YJ3E1EAXJ,Snohomish,Sultan,WA,98294.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,152277,39.0,253072417,POINT (-121.7937672 47.8691441),PUGET SOUND ENERGY INC,53061053802.0
5YJXCAE29L,Snohomish,Edmonds,WA,98026.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,293.0,91555,32.0,265033009,POINT (-122.338942 47.821454),PUGET SOUND ENERGY INC,53061050800.0
5YJ3E1EB4J,Snohomish,Lynnwood,WA,98087.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,181424,21.0,341100714,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041816.0
1G1FW6S05H,Columbia,Dayton,WA,99328.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,40223,16.0,242632071,POINT (-117.9665373 46.3125369),PACIFICORP,53013960200.0
5YJ3E1EB0J,Yakima,Yakima,WA,98903.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,98135,14.0,475363815,POINT (-120.5807155 46.5654909),PACIFICORP,53077002801.0
5YJ3E1EB5L,Snohomish,Monroe,WA,98272.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,96672,39.0,107158544,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052204.0
5YJ3E1EA3L,Snohomish,Everett,WA,98203.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,266.0,104874,38.0,132611083,POINT (-122.225874 47.945309),PUGET SOUND ENERGY INC,53061041400.0
5YJSA1E13G,Thurston,Olympia,WA,98513.0,2016,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,133778,2.0,333213667,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012331.0
5YJ3E1EA9K,Snohomish,Bothell,WA,98012.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,138242,44.0,297349727,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052006.0
5YJ3E1EA2J,Thurston,Olympia,WA,98503.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,47981,2.0,258777004,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011627.0
5YJYGDEEXL,Snohomish,Everett,WA,98203.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,62958,38.0,128752214,POINT (-122.225874 47.945309),PUGET SOUND ENERGY INC,53061041100.0
5YJ3E1EB6K,Yakima,Wapato,WA,98951.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,174749,15.0,225755869,POINT (-120.448617 46.4426932),PACIFICORP,53077001702.0
5YJSA1DN6D,Yakima,Yakima,WA,98903.0,2013,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,208.0,69900,14.0,156737612,POINT (-120.5807155 46.5654909),PACIFICORP,53077003003.0
5YJ3E1EB1J,Snohomish,Edmonds,WA,98026.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,121144,21.0,476019519,POINT (-122.338942 47.821454),PUGET SOUND ENERGY INC,53061042003.0
5YJ3E1EA3K,Snohomish,Lynnwood,WA,98087.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,84190,21.0,219724739,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703.0
5YJ3E1EA9J,Snohomish,Monroe,WA,98272.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,100272,39.0,281458943,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052203.0
5YJ3E1EB0J,Thurston,Olympia,WA,98501.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,143130,22.0,266755289,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010300.0
5YJ3E1EB4L,Snohomish,Bothell,WA,98012.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,161690,21.0,109687035,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051927.0
5YJ3E1EB2J,King,North Bend,WA,98045.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,90779,5.0,475258304,POINT (-121.7705205 47.4816922),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032705.0
5YJ3E1EB3J,King,Seattle,WA,98125.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,155102,46.0,323647628,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100.0
5YJXCBE20H,King,Redmond,WA,98052.0,2017,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,200.0,80962,48.0,179614998,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032325.0
KNDCC3LG8L,King,Kirkland,WA,98033.0,2020,KIA,NIRO,BEV,Clean Alternative Fuel Vehicle Eligible,239.0,44959,48.0,133830994,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604.0
5YJ3E1EB9K,Kitsap,Port Orchard,WA,98367.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,143491,26.0,124779588,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092802.0
5YJ3E1EB8K,Kitsap,Bremerton,WA,98312.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,39383,35.0,177558020,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080600.0
5YJ3E1EB6L,King,Bothell,WA,98011.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,58724,1.0,102484021,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804.0
5YJ3E1EB3L,King,Sammamish,WA,98074.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,148608,45.0,4852046,POINT (-122.0430602 47.6259676),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225.0
5YJ3E1EC4L,Kitsap,Silverdale,WA,98383.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,308.0,81380,23.0,7948713,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091205.0
KNDCC3LGXK,King,Bellevue,WA,98007.0,2019,KIA,NIRO,BEV,Clean Alternative Fuel Vehicle Eligible,239.0,72502,48.0,186688365,POINT (-122.1436732 47.6157551),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023201.0
5YJ3E1EB4L,King,Bellevue,WA,98008.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,135980,48.0,220725753,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000.0
5YJ3E1EB8L,King,Newcastle,WA,98059.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,62489,41.0,2012314,POINT (-122.134502 47.492627),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025005.0
5YJYGDEE8L,Snohomish,Bothell,WA,98021.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,120061,1.0,124723819,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051917.0
KNDCE3LG9K,King,Bellevue,WA,98008.0,2019,KIA,NIRO,BEV,Clean Alternative Fuel Vehicle Eligible,239.0,138527,48.0,477596087,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100.0
5YJ3E1EB4L,Thurston,Olympia,WA,98502.0,2020,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,322.0,62861,22.0,103302195,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520.0
5YJSA1E17H,King,Kirkland,WA,98033.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,128876,48.0,205678847,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603.0
5YJ3E1EB2K,Kitsap,Bainbridge Island,WA,98110.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,168732,23.0,478224330,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700.0
5YJSA1E49K,King,Seattle,WA,98119.0,2019,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,270.0,149317,36.0,6350767,POINT (-122.36731 47.6377681),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007001.0
5YJ3E1EB9J,King,Bellevue,WA,98004.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,158720,48.0,213997059,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701.0
5YJSA1E24G,King,Redmond,WA,98052.0,2016,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,98015,45.0,230675945,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032330.0
1G1FY6S0XK,King,Auburn,WA,98001.0,2019,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,111428,30.0,475890607,POINT (-122.2651204 47.3164638),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030801.0
1G1FW6S04H,King,Seattle,WA,98107.0,2017,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,99140,36.0,219797973,POINT (-122.3788863 47.6702397),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004702.0
5YJSA1E23L,King,Kirkland,WA,98034.0,2020,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,330.0,106815,45.0,1995346,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904.0
5YJ3E1EBXJ,King,Kirkland,WA,98034.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,143508,45.0,474661512,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904.0
5YJ3E1EA3K,King,Seattle,WA,98102.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,181766,43.0,238776492,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600.0
5YJXCDE25L,King,Bellevue,WA,98004.0,2020,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,289.0,62322,41.0,216803667,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023901.0
5YJYGDEF3L,King,Covington,WA,98042.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,134942,47.0,136721329,POINT (-122.1145138 47.3581107),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031705.0
KNDCE3LG2L,King,Seattle,WA,98122.0,2020,KIA,NIRO,BEV,Clean Alternative Fuel Vehicle Eligible,239.0,88253,37.0,157778120,POINT (-122.3128637 47.6104992),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800.0
5YJSA1E2XH,King,Kenmore,WA,98028.0,2017,TESLA,MODEL S,BEV,Clean Alternative Fuel Vehicle Eligible,210.0,128142,46.0,171276290,POINT (-122.2478069 47.75817),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102.0
5YJYGDEF1L,King,Seattle,WA,98125.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,78596,46.0,127123447,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900.0
5YJ3E1EA3J,King,Bellevue,WA,98006.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,47000,41.0,313388295,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024904.0
5YJ3E1EB3K,King,North Bend,WA,98045.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,103384,5.0,192845313,POINT (-121.7705205 47.4816922),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704.0
5YJ3E1EA1K,Snohomish,Bothell,WA,98012.0,2019,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,220.0,68528,21.0,343113305,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051921.0
5YJ3E1EA4J,Kitsap,Poulsbo,WA,98370.0,2018,TESLA,MODEL 3,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,51162,23.0,474888991,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090201.0
5YJYGDEF0L,King,Renton,WA,98056.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,142504,41.0,112037348,POINT (-122.1819876 47.5098889),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025304.0
5YJXCBE28J,Cowlitz,Longview,WA,98632.0,2018,TESLA,MODEL X,BEV,Clean Alternative Fuel Vehicle Eligible,238.0,90308,19.0,475357613,POINT (-122.973463 46.15445),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015001900.0
5YJYGDEFXL,King,Woodinville,WA,98072.0,2020,TESLA,MODEL Y,BEV,Clean Alternative Fuel Vehicle Eligible,291.0,54227,45.0,127088734,POINT (-122.1368031 47.7621254),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032319.0
1G1FZ6S05L,King,Kirkland,WA,98034.0,2020,CHEVROLET,BOLT EV,BEV,Clean Alternative Fuel Vehicle Eligible,259.0,166375,1.0,251177678,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0
1N4BZ1DP0L,King,Sammamish,WA,98075.0,2020,NISSAN,LEAF,BEV,Clean Alternative Fuel Vehicle Eligible,215.0,170822,41.0,256084720,POINT (-122.0181135 47.5880568),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215.0
